,feature,importance
405,svd_42,183.0
406,svd_43,256.6
407,svd_44,245.6
408,svd_45,310.6
409,svd_46,204.4
410,svd_47,353.0
411,svd_48,253.8
412,svd_49,170.8
413,svd_5,159.2
414,svd_50,209.6
415,svd_51,223.6
416,svd_52,327.6
417,svd_53,229.2
418,svd_54,267.8
419,svd_55,199.6
420,svd_56,151.2
421,svd_57,159.8
422,svd_58,248.8
423,svd_59,178.2
424,svd_6,190.0
425,svd_60,171.4
426,svd_61,261.6
427,svd_62,191.4
428,svd_63,194.0
429,svd_64,202.8
430,svd_65,204.0
431,svd_66,266.6
432,svd_67,175.6
433,svd_68,225.4
434,svd_69,183.4
435,svd_7,172.4
436,svd_70,339.2
437,svd_71,241.4
438,svd_72,199.4
439,svd_73,200.4
440,svd_74,209.6
441,svd_75,293.0
442,svd_76,243.4
443,svd_77,187.2
444,svd_78,272.4
445,svd_79,184.6
446,svd_8,200.6
447,svd_80,173.8
448,svd_81,209.4
449,svd_82,219.6
450,svd_83,268.4
451,svd_84,218.2
452,svd_85,171.0
453,svd_86,147.8
454,svd_87,249.4
455,svd_88,240.2
456,svd_89,222.8
457,svd_9,224.0
458,svd_90,231.4
459,svd_91,199.2
460,svd_92,178.6
461,svd_93,200.8
462,svd_94,157.4
463,svd_95,194.8
464,svd_96,245.2
465,svd_97,221.6
466,svd_98,244.6
467,svd_99,213.0
468,vertex_x,175.6
469,vertex_y,333.2
