,feature,importance
167,pic_221,123.8
243,pic_60,122.8
104,pic_165,122.6
97,pic_159,122.2
206,pic_27,122.2
285,pic_99,121.8
252,pic_69,121.6
40,pic_107,121.4
155,pic_210,120.4
80,pic_143,120.2
232,pic_50,119.2
280,pic_94,119
189,pic_241,118.8
134,pic_192,118
276,pic_90,117.6
220,pic_4,117
146,pic_202,116.8
119,pic_179,116.4
90,pic_152,116
267,pic_82,115.8
101,pic_162,115.2
143,pic_20,115.2
214,pic_34,114.4
247,pic_64,114.2
176,pic_23,113.8
224,pic_43,113.6
60,pic_125,113.4
253,pic_7,112.2
188,pic_240,111.8
281,pic_95,111.8
145,pic_201,111.6
160,pic_215,111.4
168,pic_222,111.4
23,dominant_blue,110.2
32,pic_10,109.6
245,pic_62,109.4
77,pic_140,109.2
218,pic_38,108.4
231,pic_5,108.4
113,pic_173,107.8
110,pic_170,107.4
33,pic_100,106.8
48,pic_114,106.6
235,pic_53,106.2
87,pic_15,105.8
11,MaturitySize,102.8
284,pic_98,102.2
279,pic_93,102
26,dominant_red,100.6
205,pic_26,100.6
241,pic_59,99
37,pic_104,98.8
109,pic_17,96
139,pic_197,95.8
42,pic_109,95.6
201,pic_252,92
263,pic_79,84.4
8,FurLength,82
17,Vaccinated,80.8
22,doc_sent_score,77.6
24,dominant_green,76.8
10,Health,56.6
5,Color3,50.2
28,label_description,41.6
6,Dewormed,36.4
18,VideoAmt,19.4
20,bounding_importance,1.8
16,Type,1.4
19,bounding_confidence,0.2
